nome_fantasia,data_inicio_atividades,cnae_fiscal,cep,municipio,porte
ASSOCIACAO DOS PEQUENOS PROD RURAIS DO POV BOA SORTE,20040720,9430800,48540000,3663,5
ASSOCIACAO DOS PEQUENOS PRODUTORES CHACARAS PROVISAO,20060328,9430800,45200130,3661,5
ASSOCIACAO DOS PEQUENOS PRODUTORES DE LAGOA DA PEDRA E,20061110,9499500,46480000,3295,5
ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS ASSENTADOS EM,20001024,9430800,48580000,3785,5
ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS MORADA NOVA,20120105,161099,45836000,3613,5
ASSOCIACAO DOS PESCADORES DO TRUVISCO,20061020,9430800,46300000,3399,5
ASSOCIACAO DOS PESCADORES E APICULTORES,20040818,9430800,47300000,3443,5
ASSOCIACAO DOS PRODUTORES DO R.V.M.M.,19970916,9430800,45325000,3385,5
ASSOCIACAO DOS PRODUTORES E AGRIC.DAS CHACS.CAMPO VERDE,20071218,9499500,48905530,3669,5
ASSOCIACAO DOS PRODUTORES RURAIS DA REGIAO DA LAGOA FOR,20090715,9499500,45263000,3263,5
ASSOCIACAO DOS PRODUTORES RURAIS DA VILA SAO JOSE,20060327,9430800,48435000,3253,5
ASSOCIACAO DOS PRODUTORES RURAL DO ESTREITO II,20010315,9430800,47400000,3971,5
ASSOCIACAO DOS TAXISTAS DE PREVENIDO,20060112,9430800,44910000,3071,5
ASSOCIACAO DOS TRABALHADORES RURAIS DA FAZENDA ARATICUM,20090710,9430800,42835000,3413,5
ASSOCIACAO ESPINHO,19960418,9430800,45360000,3711,5
ASSOCIACAO ESPORTIVA XV DE JAU,20110607,8591100,48180000,3509,5
ASSOCIACAO FAZENDA ARNIPO,19990407,9430800,48630000,3843,5
ASSOCIACAO FEIRANTES DO FEIRA X,20040427,9430800,44023324,3515,5
ASSOCIACAO FLOR DO CAJUEIRO,20090813,9499500,48840000,3435,5
ASSOCIACAO INDIGENA TUMBALALA,20100903,9499500,48930000,3497,5
ASSOCIACAO JEQUIEENSE DE HIPISMO E EQUOTERAPIA,20070730,8650004,45206580,3661,5
ASSOCIACAO JESUS DE NAZARE,20081111,8511200,45075225,3965,5
ASSOCIACAO LUZ VERDADE E AXE - ALUVEA,20070820,9499500,48760000,3341,5
ASSOCIACAO MARISCAGEM E AGRICULTURA,20071119,9493600,44480000,3657,5
ASSOCIACAO MISSAO COMUNIDADE,20100324,9430800,44096620,3515,5
ASSOCIACAO NA ASSISTENCIA E FORMACAO DO EDUCANDO,19990413,8513900,45550000,3945,5
ASSOCIACAO NOVA JERUSALEM,19990406,9430800,45650780,3573,5
ASSOCIACAO NOVA TERRA,20011030,9430800,47990000,3521,5
ASSOCIACAO NOVA VIDA,19980519,9430800,48930000,3497,5
ASSOCIACAO ORIENTAL DE KARATE,20081028,9319101,40349310,3849,5
ASSOCIACAO PADRE BERNARDO,19981019,9430800,46805000,3693,5
ASSOCIACAO PAIS E MESTRES ESCOLA MUNICIPAL BENITO SARNO,20110810,9430800,43813400,3429,5
ASSOCIACAO PARATECA,19980522,9430800,46450000,3899,5
ASSOCIACAO PERMISSIONARIOS DO MERCADO DO RIO VERMELHO,20080926,9411100,41940060,3849,5
ASSOCIACAO PONTO DO JACUIPE,20101001,9499500,42833000,3413,5
ASSOCIACAO POWER DE KARATE SHOTOKAN,20000619,9430800,45995152,3993,5
ASSOCIACAO PROTETORA DOS ANIMAIS - APA,20030205,9430800,44067480,3515,5
ASSOCIACAO QUARENTA,19980326,9312300,45490000,3677,5
ASSOCIACAO QUEBRA BRATO,20131114,4399103,45290000,3545,5
ASSOCIACAO QUILOMBOLA DA FAZENDA PORTEIRAS,20100126,9493600,48180000,3509,5
ASSOCIACAO RADIO LIVRE,19980820,6010100,45570000,3579,5
ASSOCIACAO RENASCER,20050906,9430800,48180000,3509,5
ASSOCIACAO RENASCER,19991027,9430800,48460000,3759,5
ASSOCIACAO RENASCER,20020327,9430800,45000505,3965,5
ASSOCIACAO RENASCER,20070403,9499500,45695000,3073,5
ASSOCIACAO RUI BARBOSA,20001011,9430800,48430000,3777,5
ASSOCIACAO RURAIS DA BOA SORTE E TABUA,19940511,9430800,45180000,3323,5
ASSOCIACAO RURAL DA JUERANA E REGIAO,20101018,9430800,45980000,3811,5
ASSOCIACAO RURAL DE CONTENDAS,19860910,9430800,46500000,3697,5
ASSOCIACAO RURAL DE MORRO DO GOMES,19970908,9430800,44970000,3547,5
ASSOCIACAO RURAL DO JOAO GRANDE,20030425,9430800,48435000,3253,5
ASSOCIACAO RURAL DO MANDACARU,20050224,9430800,48430000,3777,5
ASSOCIACAO RURAL NOVO PARAISO,19980304,9430800,48005135,3313,5
ASSOCIACAO SANTA LUZIA,20040723,9430800,45745000,3541,5
ASSOCIACAO SAO JOSE,19790410,9430800,46530000,3381,5
ASSOCIACAO SAO JOSE DA GAMELEIRA,20000417,9430800,48110000,3449,5
ASSOCIACAO SHALOM SALVADOR/BA,19940318,9499500,41940570,3849,5
ASSOCIACAO SHALOM SENHOR DO BONFIM,20011025,9499500,48970000,3901,5
ASSOCIACAO TEATRO DA BARRA ESPACO CULTURAL CARMEN ASSIS,20000830,9001999,40140240,3849,5
ASSOCIACAO TERCEIRA IDADE DE BEM COM A VIDA,20090615,9499500,45970000,3621,5
ASSOCIACAO TERRA NOSSA,20080716,9499500,45860000,3425,5
ASSOCIACAO UNIDA DOS MORAD. DE VAZANTE I E VAZANTE II,19980312,9430800,47760000,3917,5
ASSOCIACAO UNIDOS NO TRABALHO,19981020,9430800,45435000,3647,5
ASSOCIACAO VITORIA E LUZ,20060724,9430800,44036291,3515,5
ASSOCIACAO ZE MOTOCA KARATE SHOTOKAN,20021121,9430800,44250000,3477,5
ASSOCIAO COMUNITARIA DE LAGOA DA CAMISA,20050121,9430800,44110000,3515,5
ASSOCIAO DE PAIS E MESTRES,20100406,9430800,43850000,3889,5
ASSOCIAO DE PAIS E MESTRES CRECHE ESCOLAR ARLETE M MAGA,20090911,8511200,45580000,3559,5
ASSOCIAO DOS MORADORES E PEQUENOS PRODUTORES RURAIS,20140519,9499500,45000970,3965,5
ASSOCIAUTO LEM,20080402,9499500,47850000,1112,5
ASSOCICACAO DOS PEQUENOS PRODUTORES DA REGIAO DOS QUERI,20060612,9430800,45530000,3599,5
ASSOCICAO DO GADO BRAVO,20091126,9499500,48570000,3853,5
ASSOCON,20071009,9412099,45115000,3965,5
ASSOGRESSO,20030530,9430800,47300000,3443,5
ASSORIO,20001109,9430800,47850000,1112,5
ASSOSEL,20080331,9491000,45204110,3661,5
ASSULBA,19921218,4789099,41900540,3849,1
ASSURUA INTERNACIONAL,20030828,4635499,41820021,3849,1
ASTAI,20010327,9430800,47520000,3565,5
ASTAI ASSOCIACAO DOS TAXISTAS DE IRARA,20050913,9430800,44255000,3591,5
ASTAPE,20011002,9430800,44200000,3871,5
ASTAXI,19961126,9430800,44340000,3747,5
ASTEC,19871127,4330404,41260300,3849,1
ASTECAS PAPELARIA,19710602,4761003,45000145,3965,1
ASTEKAS,19980328,9430800,44050490,3515,5
ASTENAJA,20031118,9430800,43850000,3889,5
ASTRAM,19870504,9430800,40070055,3849,5
ASTRARTAN,20090820,9412099,44160000,3921,5
ASTROVERES,19860710,9412099,48700000,3909,5
ASUL,19921008,7490101,44570535,3873,1
ASV SERVICOS E ADMINISTRACAO DE CONDOMINIO,20110404,6822600,41339070,3849,1
ATABEC,20081106,4635402,46190000,3773,1
ATACADAO,20080917,4693100,44021215,3515,5
ATACADAO 10,20111124,4781400,46600000,3919,1
ATACADAO ATAKAREJO,20080630,4691500,42700130,3685,5
ATACADAO BAHIA,20030901,4634603,45830180,3117,3
ATACADAO BAHIA,20120213,4639701,44002552,3515,5
ATACADAO BJOUX,20110812,4781400,45810000,3807,1
ATACADAO CASA DA CONSTRUCAO,19960403,4744099,44775000,3091,5
ATACADAO COMBEL,20020716,4679699,45200581,3661,1
ATACADAO CONFECCOES,20070816,4781400,45200090,3661,1
ATACADAO DO BEBE,19920601,4754701,45000335,3965,1
ATACADAO DO BLOCO,20040413,4930201,47850000,1112,1
ATACADAO DO JEANS,20100721,4781400,47850000,1112,1
ATACADAO DOS GRAOS,20101118,4729699,41510520,3849,1
ATACADAO DP,20030320,4755502,46430000,3533,1
ATACADAO JACOBINA,20071214,4637199,44700000,3651,5
ATACADAO NORDESTAO,20080616,4639701,48730000,3467,5
ATACADAO NORDESTE,20111003,4781400,44001168,3515,1
ATACADAO NOVO MIX ITINGA,19990202,4639701,42739005,3685,5
ATACADAO SANTA TEREZINHA,20070626,4712100,48011320,3313,1
ATACADAO SUZE,20001211,4761003,45000545,3965,3
ATACADINHO,20081001,4712100,45822608,3117,1
ATACADISTA,20120210,4724500,41345100,3849,1
ATACADO E DISTRIBUIDOR NOGUEIRA LTDA,20090831,4711302,46290000,3737,1
ATACK CONSTRUCOES E SERVICOS,19890113,4120400,43850000,3889,5
ATAK PRODUCOES E EVENTOS,20100721,7319002,41181050,3849,1
ATARSB,19990609,9430800,44230000,3321,5
ATC,20040511,9412099,44300000,3397,5
ATELIE CIDADE SOL,20060920,1531902,45200050,3661,1
ATELIE DE COSTURA ART LU,20140514,1412602,45985297,3993,1
ATELIE DE PROTESE VASCONCELOS,20090121,3250706,41940240,3849,1
ATELIE DOS MOVEIS,20040902,3101200,47990000,3521,1
ATELIE DOS SABORES,20020122,5620104,45603182,3597,1
ATELIE KIKI CASTRO,20100303,1412601,41810480,3849,1
ATELIE VO SANTA,20110427,4781400,45810000,3807,1
ATELIER . COM CARINHO,20050615,4789001,44695000,3083,1
ATELIER J. BELLE,20110720,1412602,40285001,3849,1
ATENDE PIZZA,20050429,5620104,40252000,3849,1
ATENTO,20000316,8220200,41150000,3849,5
ATFLIJ,20070322,9499500,44900000,3593,5
ATHENAS CONSULTORIA,20041209,6920602,45020520,3965,1
ATHLETICS CONFECCOES,19960717,1412601,40050530,3849,1
ATI LER CANTINHO DA COSTURA,20110527,1412601,45810000,3807,1
ATIKUM,20071120,9499500,48630000,3843,5
ATINELEH PRONTA ENTREGA,20010309,1413402,48990000,3255,1
ATIVA,20091009,8020001,41940660,3849,1
ATIVA PROPAGANDA,20001226,7311400,44050368,3515,1
ATIVA REPRESENTACOES,20090521,4754701,41260300,3849,1
ATIVA TELECOMUNICACOES,20101215,4752100,47800064,3363,1
ATIVO CONTABILIDADE,20070316,6920601,40720406,3849,1
ATIVO SERVICOS 24 HORAS,20110608,7319002,40444201,3849,1
ATLANTA MANUTENCAO DE AERONAVES,19660914,3316301,41510045,3849,5
ATLANTIC PARAMOUNT,20050916,4649404,42700130,3685,1
ATLANTICA ACOS DO BRASIL S/A,20110721,4679699,45157000,3433,5
ATLANTICA PAISAGISMO,20110908,4789002,45700000,3629,1
ATM,20110412,9499500,45480000,3749,5
ATM CONSTRUCOES E SERVICOS AMBIENTAIS,19990916,4313400,48970000,3901,3
ATN - GERENCIAMENTO HOTELEIRO,19921117,5510801,40140110,3849,1
ATN CONTABILIDADE,20110726,6920601,40253040,3849,1
ATO - ADVOCACIA TRABALHISTA OPERARIA,19760727,6911701,40015000,3849,5
ATRAZPA,20041029,161099,45037565,3965,5
ATRBB,19940614,9430800,48610000,3527,5
ATRBL,19900323,9430800,47650000,3485,5
ATRBP,20011012,9430800,47115000,3005,5
ATREVIDA,20030117,4781400,48500000,3513,1
ATRIOS BONES E BRINDES,20100505,1412603,44028430,3515,1
ATS ACOS E METAIS,20100917,4744001,44056232,3515,1
ATS LEAN,20090806,7112000,40010020,3849,5
ATSS,20100616,7490199,46500000,3697,5
ATTEND SERVICE,19990531,8630504,44051335,3515,1
ATTOS MODAS E ACESSORIOS LTDA,20071031,1412602,48601050,3781,1
ATUAL COSMETICOS,20050829,4772500,45985970,3993,1
ATUAL MODAS,20140516,4781400,45745000,3541,1
ATUAL MODAS,20090820,4781400,45400000,3957,1
ATUAL MOTOS,20040113,4530703,47590000,3583,1
ATUAL MOVEIS E DECORACOES,20000926,4754701,44600000,3581,1
ATUAL PREMIER CORRETORA DE SEGUROS,20110228,6622300,45985194,3993,5
ATUAL PREMOLDADOS,19970908,2330302,48011310,3313,1
ATUALIDADE SERVICOS,19950913,6630400,42702400,3685,1
ATUAR COMUNICACAO & MARKETING,20110818,1813001,45990145,3993,1
ATYAM CONFECCOES,19980219,4781400,44380000,3495,3
AU MIAU COCORICO,20071025,4789004,45656510,3573,1
AUDIO & FONO,20030318,8712300,44075425,3515,1
AUDIO CENTER,19940131,4757100,45825000,3117,1
AUDIO VIDEO,20050701,4757100,40445201,3849,1
AUDIOCAR,20090901,4530703,47520000,3565,1
AUDIOVISAO APARELHOS AUDITIVOS E OTICA,20090603,4773300,44700000,3651,1
AUDIUM - AUDIO & ACUSTICA,20061213,7112000,41320100,3849,1
AUGEPAG GESTAO DE PAGAMENTOS E EVENTOS,20110223,7990200,44077590,3515,5
AUGUSTA DISTRIBUIDORA,20060823,4530701,45065130,3965,5
AUGUSTO CABELUS,20101026,9602501,40301500,3849,1
AUGUSTO INCORPORADORA,20081002,4110700,47850000,1112,3
AUGUSTO VEICULOS PECAS E ACESSORIOS,19830607,8888888,43815370,3429,1
AURENIL NUNES DE AZEVEDO,19960315,4619200,48903190,3669,1
AUREO REPRESENTACOES,20090313,4616800,44001205,3515,1
AURI CONFECCOES,20000908,4781400,48070220,3313,1
AUTENTICA,20030807,4751201,48903660,3669,3
AUTENTICA MODAS ESTILO E ELEGANCIA-MI,20140513,4781400,47690000,3481,1
AUTENTK LOCACAO E CONSTRUCAO,19961105,4120400,42700130,3685,1
AUTO ATACADO DE PARAFUSOS,19991206,4744001,45025030,3965,1
AUTO BAHIA,19991019,4520001,41385160,3849,3
AUTO BOX,20060306,4530703,44026100,3515,1
AUTO CAR PECAS E SERVICOS,20070301,4530703,45260000,3803,1
AUTO CENTER JOTA JOTA,20080226,4520005,44090420,3515,1
AUTO CENTER MARINGA,20000518,4530703,47600000,3377,1
AUTO CENTER POSITIVO,20050812,4530703,41204025,3849,1
AUTO CENTER SANTANA,20140604,4530703,45601051,3597,1
AUTO ELETRICA COMETA,19881220,4530701,45997000,3993,1
AUTO ELETRICA EDVALDO,19901212,4530703,48110000,3449,1
AUTO ELETRICA HC,20110425,4530703,47802264,3363,1
AUTO ELETRICA M M,20110606,4520003,42804010,3413,1
AUTO ELETRICA MANOEL,20140607,4520003,42806340,3413,1
AUTO ELETRICA NIKAL,19960223,4530703,44630000,3703,1
AUTO ELETRICA NOSSA SENHORA APARECIDA,19890808,4530703,45928000,3761,1
AUTO ELETRICA PAULISTA,20100330,3312102,47850000,1112,1
AUTO ELETRICA PECAS & ELETRICA NEVES,20100428,4530703,47610000,3041,1
AUTO ELETRICA PEDRINHO,20061123,4530703,43700000,3913,1
AUTO ELETRICA SANTOS PECAS E SERVICOS ELETRICOS,20041126,4530703,45040970,3965,1
AUTO ELETRICA SOUZA,20090316,4530703,48120000,3805,1
AUTO ESCOLA AVENIDA JOAO DURVAL,20100512,8599601,44090364,3515,1
AUTO ESCOLA BMG,20050418,8599601,44300000,3397,1
AUTO ESCOLA COITE,19990614,8599601,48730000,3467,1
AUTO ESCOLA DIRIJA BEM,20020822,8599601,40157151,3849,1
AUTO ESCOLA DO VALE,20090327,8599601,45480000,3749,1
AUTO ESCOLA FIUZA,20080904,8599601,48700000,3909,1
AUTO ESCOLA FORMOSA,20090218,8599601,47990000,3521,1
AUTO ESCOLA GUANAMBI,20110321,8599601,46350000,3951,1
AUTO ESCOLA HARMONIA,20080312,8599601,48904060,3669,1
AUTO ESCOLA MACLAREM,19990104,8599601,47800082,3363,1
AUTO ESCOLA MILENIUM,20010425,8599601,47640000,3863,1
AUTO ESCOLA NOVO PARAISO,20110328,8599601,48540000,3663,1
AUTO ESCOLA PRINCESA,20031121,8599601,44001120,3515,1
AUTO ESCOLA RADIAL,20050314,8599601,42800001,3413,1
AUTO ESCOLA REGIONAL,20030922,8599601,45020740,3965,1
AUTO ESCOLA SANTA CECILIA,20031021,8599601,45860000,3425,1
AUTO ESCOLA SOBERANA,20090514,8599601,45700000,3629,1
AUTO ESCOLA TRANSITO,20090925,8599601,44900000,3593,1
AUTO ESCOLA UNITRAN,20091007,8599601,45200010,3661,1
AUTO ESCOLA VALENCA,20040817,8599601,45208071,3661,1
AUTO ESCOLA VEJA,20000901,8599601,40040090,3849,1
AUTO ESCOLA VEJA,20050614,8599601,40140242,3849,1
AUTO ESCOLA VIP,19990111,8599601,43700000,3913,1
AUTO GIRO,20060627,4511102,44050368,3515,1
AUTO GIRO TRANSPORTES,20080402,4930202,44054032,3515,1
AUTO LATA RECICLAGEM,19980225,3831999,47600000,3377,5
AUTO MAIS VEICULOS,20030430,4511102,44051472,3515,1
AUTO MECANICA MERCEDES,19900329,4530701,45995152,3993,1
AUTO MECANICA SO DIESEL,20030804,4530703,47810026,3363,5
AUTO MOLAS CLARA,20100519,4530703,43700000,3913,1
AUTO MOLAS E MECANICA VITORIA,20091209,4530703,47850000,1112,1
AUTO PEAS 2 RODAS,20030722,4541206,44520000,3985,1
AUTO PEAS ASSIS,19990604,4530703,46550000,3839,1
AUTO PECA BOA ESPERANCA,19920824,4530703,48970000,3901,1
AUTO PECAS ALMEIDA,20060720,4530703,46540000,3551,1
AUTO PECAS ALVES,19971017,4530703,46810000,3955,1
AUTO PECAS ANDERSON,19971215,4530701,44950000,3947,1
AUTO PECAS APACHE,19710806,4530703,47100000,3353,1
AUTO PECAS ARAUJO MESSIAS,20110310,4530703,46540000,3551,3
AUTO PECAS BAHIA,19940201,4530703,45208360,3661,1
AUTO PECAS BARBOSA,20100602,4530703,48860000,3817,1
AUTO PECAS BOM CONSELHO,20091214,4530703,45300000,3319,1
AUTO PECAS DO VALE,20101022,4530703,47120000,3079,1
AUTO PECAS E BORRACHARIA BEIRU,19901123,4530703,46100000,3391,1
AUTO PECAS E COM SANTA ISABEL,19820723,8888888,47806365,3363,1
AUTO PECAS E MECANICA MONTALVAO,19920717,4530703,47800398,3363,1
AUTO PECAS E RETIFICA GRANDE RIO,19851031,4530703,48601190,3781,1
AUTO PECAS E SERVICOS MARCELINO,19800725,4530703,41150000,3849,1
AUTO PECAS FERNANDES,20100831,4530704,48970000,3901,1
AUTO PECAS FERRAGENS,19921117,4530703,41250280,3849,1
AUTO PECAS GUANABARA,20110610,4530703,44720000,3725,1
AUTO PECAS ITAPE,20060825,4530703,46640000,3645,1
AUTO PECAS JAWA,20140515,4530704,45826001,3117,1
AUTO PECAS JEAN,20090123,4530703,44910000,3071,1
AUTO PECAS JOAO DOUGLAS,20030520,4530703,46580000,3991,1
AUTO PECAS LSN,19920819,4774100,47801250,3363,1
AUTO PECAS MATIAS,20050308,4530703,46600000,3919,1
AUTO PECAS NIL,20070329,4530703,46500000,3697,1
AUTO PECAS OLIVEIRA,20060308,4530703,47760000,3917,1
AUTO PECAS PAI & FILHO,19920717,4530703,46540000,3551,1
AUTO PECAS PARAIBANA,19860717,4530703,46650000,3355,1
AUTO PECAS PEREIRA,19880115,4530703,48410000,3455,1
AUTO PECAS PEREIRA,20110127,4530703,44190000,3875,1
AUTO PECAS PORTO - FILIAL L.E.M.,19940525,4530701,47850000,1112,5
AUTO PECAS REAL,20060809,4530703,47850000,1112,1
AUTO PECAS RODRIGUES,19931109,4530703,46200000,3473,1
AUTO PECAS SANTAFE,20110526,4530703,46170000,3835,1
AUTO PECAS SANTO ANTONIO,20031020,4530703,46880000,3595,1
AUTO PECAS SANTOS,20020107,4530704,44770000,3793,1
AUTO PECAS SAO CRISTOVAO,20070619,4530703,46165000,3501,1
AUTO PECAS SAO FRANCISCO,20110822,4530703,47800090,3363,1
AUTO PECAS SOUZA,19900201,4530703,48445000,3097,1
AUTO PECAS TREVO,19880127,4530701,45825000,3117,1
AUTO POSTO 73,20090218,4731800,45370000,3585,1
AUTO POSTO ABAIRA,20071210,4731800,46690000,3301,3
AUTO POSTO AGNELO,20080109,4731800,48410000,3455,5
AUTO POSTO BARIRI,20060821,4731800,46770000,3587,3
AUTO POSTO BARRENSE,19900829,4731800,44990000,3359,1
AUTO POSTO BELA VISTA MUNDIAL,20110510,4731800,46700000,3561,5
AUTO POSTO BRASIL,20010518,4731800,47630000,3039,3
AUTO POSTO CABRALIA,20010503,4731800,45807000,3855,5
AUTO POSTO CARAIVA,20050425,4731800,45810000,3807,5
AUTO POSTO CASARAO,20050201,4731800,45840000,3535,1
AUTO POSTO COITE II,19970425,4731800,48730000,3467,1
AUTO POSTO CONFIANCA,20030401,4731800,44915000,3989,1
AUTO POSTO DE LAVAGEM GOIANO,20110502,4520005,47960000,3327,1
AUTO POSTO ESTRELA,20070302,7490103,47820000,3877,3
AUTO POSTO ESTRELA DALVA,20091201,4731800,48950000,3939,3
AUTO POSTO FOGACA,20070808,4731800,47665000,3031,1
AUTO POSTO I. R.,20110916,4731800,46990000,3915,1
AUTO POSTO JESSE,20030107,4731800,47750000,3387,5
AUTO POSTO LACERDA,20050602,4731800,45157000,3433,1
AUTO POSTO LIVIA,19860731,4731800,46360000,3791,3
AUTO POSTO LOPES PINHEIRO,20080619,4731800,44905000,3973,1
AUTO POSTO LUZENSE,19950221,4731800,48880000,3861,1
AUTO POSTO MADRID,20090917,4731800,45928000,3761,5
AUTO POSTO NOSSA SENHORA,19991206,4731800,47620000,3041,1
AUTO POSTO NOVO MILENIO,20021126,4731800,45190000,3801,5
AUTO POSTO O CAJUEIRO,20000505,4731800,46200000,3473,1
AUTO POSTO RIOS,20111221,4731800,44695000,3083,1
AUTO POSTO RUA NOVA,20060814,4731800,48890000,3959,3
AUTO POSTO SAO CRISTOVAO,20020822,4731800,48410000,3455,3
AUTO POSTO SAO FRANCISCO,20010803,4731800,46440000,3705,5
AUTO POSTO THAYNA,20100415,4731800,46430000,3533,5
AUTO POSTO VICTOR,20100412,4731800,46480000,3295,5
AUTO POSTO VITORIA,20000508,4731800,47990000,3521,1
AUTO RADIADORES E ELETRICA RABEL,19860220,2950600,45821000,3117,1
AUTO RESIDENCE ELETRICA,20030912,4742300,40368015,3849,1
AUTO SOCORRO JAINTON,20100630,5229002,46640000,3645,1
AUTOCAR AUTO MECANICA,19961210,4530703,47802420,3363,1
AUTOCAR VEICULOS,20110401,4520002,45996148,3993,1
AUTOFIX,20050214,4530701,44007300,3515,5
AUTOMI,20101015,4753900,40295050,3849,3
AUTOMIT,19941220,4520001,44052708,3515,1
AUTOMOLAS,19981026,4530703,41310400,3849,5
AUTOMOTIVA AUTO CENTER,20070104,4530705,42701330,3685,1
AUTOPECAS 2 EM 1,19920909,4530703,44003234,3515,1
AUTOPECAS ARAUJO,19930823,4530703,45680000,3953,1
AUTOPLACAS,20090722,3299003,45820002,3117,1
AUTOPOSTOAGUIA,19891103,4731800,46100000,3391,5
AUU,19890811,9430800,46810000,3955,5
AV. TANCREDO NEVES 1632 ED. SALVADOR TRADE CENTER SALA,20040302,6462000,40015070,3849,5
AVAC,20050525,9430800,48930000,3497,5
AVANCO CURSOS E SERVICOS,20071126,4321500,44075115,3515,1
AVANTE,19960715,9492800,41213000,3849,5
AVANTE,20040524,9492800,41213000,3849,5
AVANTE,20110922,9492800,45035110,3965,5
AVANTE CATU/BA,20080506,9492800,48110000,3449,5
AVANTE COMERCIO DE ALIMENTOS,20110930,4639701,44590000,3869,3
AVANTE MOVEIS,19990908,4754701,45000770,3965,1
AVANX,20090925,4731800,47850000,1112,5
AVENDA,19920728,4712100,44700000,3651,1
AVENIDA COLCHOES ZONA SUL,20101222,4754702,45656000,3573,1
AVENIDA FASHION,20080118,4774100,45810000,3807,1
AVENIDA MOVEIS,20020805,4754701,48908280,3669,1
AVES ESTEVES,19850311,4930202,45150000,3507,1
AVIAMENTOS GUIMARAES,20000405,4755502,45653145,3573,1
AVILA FITNESS,20091116,9313100,40279080,3849,1
AVIPAL RACOES BA,20070205,5620101,44088455,3515,5
AVIPAM TURISMO E CAMBIO LTDA,20011017,7911200,41800700,3849,5
AVISTAO DA BARRA,20110921,4712100,46650000,3355,1
AVISTAO MOTO PECAS,20080102,4541206,46445000,3441,1
AVL - LOCACAO DE VEICULOS,20110928,7711000,40240090,3849,1
AXE MOTOS,20120419,4541204,40255000,3849,1
AXE PNEUS,20050607,4530706,43700000,3913,5
AXXO,19960724,4120400,40157151,3849,5
AYBA,19710317,9430800,40301155,3849,5
AZ CONSULTORIA,20120424,7490103,45600550,3597,1
AZ TRIBUTOS,20090825,6920602,44645000,3081,5
AZAPHE ARTEFATOS/MATERIAIS DE CONSTRUCAO,20040227,4110700,48700000,3909,5
AZEVEDO PRODUTOS DE BELEZA,20040722,2063100,44420000,3713,1
AZILUTH PRESENTES,20060504,1359600,44004005,3515,1
AZIMUTE RASTREAMENTO E MONITORAMENTO,20120103,4520007,44006332,3515,1
AZS MERCEARIA,19900604,4712100,46530000,3381,1
AZTEKA INDUSTRIA E COMERCIO DE CALCADOS LTDA,19980327,1539400,44050048,3515,1
AZUL DIESEL,19850118,4530703,42805701,3413,1
AZUL DO MAR,20010830,7723300,44571055,3873,1
AZUL MOVEIS,20060912,1622699,43700000,3913,1
AZUL VIP ASSISTENCIA TECNICA DE CELULARES E SMARTIFONE,20110809,9512600,42700130,3685,1
AZUUP,20020719,9430800,44850000,3735,5
B & A CONFECCOES,20061026,4781400,40470630,3849,1
B & B BLANCO BROKERS,20090615,6822600,40140230,3849,5
B & B INDUSTRIA EXPORTACAO DE PEDRAS PRECIOSAS E JOIAS,19950110,4789099,40220225,3849,1
B & B TELECOMUNICACOES,20020313,4752100,44360000,3879,1
B & C SERVICOS LTDA,19990121,8211300,46140000,3691,1
B & G TRANSPORTES,20120507,4930202,44790000,3419,1
B & M REPRESENTACOES,20111220,7319002,45990710,3993,1
B OLIVEIRA,19860102,134200,46810000,3955,1
B R - FIBRAS,20070611,2229303,45089420,3965,5
B R A V O S,20041207,9430800,46650000,3355,5
B W PATRIMONIAL,20100809,6810201,40015010,3849,5
B. F. C. COMERCIO,20080110,4744005,48970000,3901,1
B.E.,19970714,9430800,48500000,3513,5
B.R.A.L,20040908,9430800,46960000,3687,5
B&G CONSTRUCOES,20060526,4120400,42800047,3413,1
B52 DESENVOLVIMENTO CULTURAL,20000725,9001999,40060325,3849,1
BA BRASIL,20081224,4329104,48760000,3341,3
BABADO NOVO,20021219,9001999,43700000,3913,5
BABALUM MINIMERCADO - DOCES E FESTAS,19910806,4712100,45820010,3117,1
BABY CHIC MODA INFANTIL,20060412,4781400,40025001,3849,1
BABY FASHION,20071003,4781400,47960000,3327,1
BABY PRESENTES,19921123,4763601,45200280,3661,1
BABY-QUER,20010402,4763601,41213700,3849,1
BACALHAU MOTOS,20010125,4520007,40240090,3849,1
BADALACAO MODAS,20090731,4781400,46650000,3355,1
BADARO ALMEIDA E ADVOGADOS ASSOCIADOS,20090106,6911701,41820774,3849,5
BADICA MOVEIS,20040416,3101200,45810000,3807,1
BADOCAO CONSTRUCAO,20060720,4744005,46100000,3391,1
BADU CALCADOS,20100628,4782201,48870000,3979,1
BAGATELLE,19960627,4781400,41825906,3849,1
BAGUETERIA PANET,20080310,4721102,48040320,3313,1
BAHIA 10,20060602,4781400,45985970,3993,1
BAHIA 40 GRAUS,20101204,5812301,45820160,3117,1
BAHIA BRASIL,19921014,4782201,45428000,3407,3
BAHIA BRASIL ACABAMENTOS,20031031,4744099,45810000,3807,3
BAHIA CAFE HALL,20050715,5611201,41745010,3849,3
BAHIA COMERCIO DE CONFECCOES,20061130,4781400,41820021,3849,1
BAHIA CONSULTORIA & SERVICOS,19931119,8291100,44001496,3515,5
BAHIA CULTURAL,20090319,1412601,48415000,3089,1
BAHIA DIGITAL SERVICE,20080304,4751201,44180000,3333,1
